X,Y for python version
1887192.296,5746259.855
1880583.363,5750184.081
1907193.231,5750734.148
1906891.635,5762431.754
1893351.475,5760914.621
1882826.589,5760772.028
1879799.825,5769761.67
1903874.906,5773153.633
1896195.303,5777177.335
1895183.778,5778440.112
1908958.227,5781975.287
1897286.482,5788409.421
1884778.626,5786989.338
1931064.279,5781632.268
