1843754.995,5714160.056,1,0
1846714.667,5714594.142,1,1
1848687.782,5714594.142,1,2
1851292.294,5713410.273,1,3
1855159.599,5711042.535,1,4
1857014.327,5710134.902,1,5
1861000.019,5708003.938,1,6
1862262.812,5706543.833,1,7
1863209.908,5704215.557,1,8
1863249.37,5700821.8,1,9
1862578.511,5698651.373,1,10
1862026.039,5696638.796,1,11
1860842.17,5695533.852,1,12
1858790.13,5693126.652,1,13
1855948.845,5693087.19,1,14
1851607.992,5695336.541,1,15
1848569.395,5696954.495,1,16
1846359.507,5698888.147,1,17
1844070.693,5702163.518,1,18
1843399.834,5703663.085,1,19
1842334.352,5704412.869,1,20
1841308.333,5704333.944,1,21
1839729.841,5703939.321,1,22
1838111.887,5705241.577,1,23
1838269.736,5706583.295,1,24
1839058.982,5708595.872,1,25
1840085.001,5710371.676,1,26
1841584.569,5712463.178,1,27
1843754.995,5714160.056,1,28
